Detailed years of school,2018_Num,2018_Percent,2017_Num,2017_Percent,2016_Num,2016_Percent,2015_Num,2015_Percent,2014_Num,2014_Percent,2013_Num,2013_Percent,2012_Num,2012_Percent,2011_Num,2011_Percent,2010_Num,2010_Percent,2009_Num,2009_Percent,2008_Num,2008_Percent,2007_Num,2007_Percent,2006_Num,2006_Percent,2005_Num,2005_Percent,2004_Num,2004_Percent,2003_Num,2003_Percent,2002_Num,2002_Percent,2001_Num,2001_Percent,2000_Num,2000_Percent
Total,219830,100,216921,100,215015,100,212132,100,209287,100,206899,100,204579,100,201543,100,199928,100,198285,100,196305,100,194318,100,191884,100,189367,100,186876,100,185183,100,182142,100,180389,100,175230,100
"Less than 1 year, Elementary or High school no diploma",748,0.3,717,0.3,763,0.4,810,0.4,826,0.4,798,0.4,796,0.4,857,0.4,782,0.4,844,0.4,776,0.4,839,0.4,939,0.5,947,0.5,896,0.5,847,0.5,870,0.5,892,0.5,851,0.5
"1st-4th grade, Elementary or High school no diploma",1381,0.6,1490,0.7,1651,0.8,1791,0.8,1699,0.8,1546,0.8,1688,0.8,1732,0.9,1833,0.9,1941,1,1822,0.9,1991,1,2012,1.1,2036,1.1,1962,1.1,2068,1.1,2032,1.1,1918,1.1,1891,1.1
"5th-6th grade, Elementary or High school no diploma",3082,1.4,3133,1.4,3380,1.6,3404,1.6,3217,1.5,3365,1.6,3504,1.7,3442,1.7,3290,1.7,3547,1.8,3573,1.8,3495,1.8,3667,1.9,3706,2,3706,2,3806,2.1,3789,2.1,3633,2,3542,2
"7th-8th grade, Elementary or High school no diploma",3518,1.6,3467,1.6,3698,1.7,3891,1.8,4171,2,4213,2,4296,2.1,4246,2.1,4546,2.3,4496,2.3,4653,2.4,4967,2.6,5124,2.7,5229,2.8,5182,2.8,5556,3,5880,3.2,5886,3.3,5896,3.4
"9th grade, Elementary or High school no diploma",3227,1.5,3253,1.5,3376,1.6,3433,1.6,3460,1.7,3490,1.7,3692,1.8,3464,1.7,3572,1.8,3770,1.9,3598,1.8,3789,2,3755,2,3929,2.1,3857,2.1,3813,2.1,3751,2.1,3859,2.1,3680,2.1
"10th grade, Elementary or High school no diploma",3548,1.6,3663,1.7,3706,1.7,3899,1.8,4112,2,4033,2,4011,2,4185,2.1,4407,2.2,4551,2.3,4546,2.3,4670,2.4,4850,2.5,4734,2.5,4764,2.6,4862,2.6,5037,2.8,5014,2.8,4975,2.8
"11th grade, Elementary or High school no diploma",4103,1.9,4056,1.9,4062,1.9,4325,2,4306,2.1,4487,2.2,4718,2.3,4719,2.3,4790,2.4,4894,2.5,5005,2.6,4989,2.6,4875,2.5,5028,2.7,5122,2.7,5217,2.8,5126,2.8,5128,2.8,5047,2.9
"12th grade, Elementary or High school no diploma",2805,1.3,2762,1.3,2817,1.3,3030,1.4,2667,1.3,2585,1.3,2572,1.3,2395,1.2,2492,1.3,2371,1.2,2366,1.2,3002,1.6,2674,1.4,2408,1.3,2256,1.2,2431,1.3,2464,1.4,2279,1.3,1973,1.1
"Less than 1 year, Elementary or High school, GED",28,0,39,0,55,0,45,0,16,0,29,0,34,0,31,0,19,0,14,0,24,0,26,0,26,0,29,0,28,0,27,0,26,0,26,0,57,0
