STATE,Year,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,2018,4877,779,65,16,1.3
Alaska,2018,720,94,9,13.1,1.2
Arizona,2018,7241,929,80,12.8,1.1
Arkansas,2018,2912,462,38,15.9,1.3
California,2018,39150,4664,184,11.9,0.5
Colorado,2018,5739,521,51,9.1,0.9
Connecticut,2018,3413,348,43,10.2,1.3
Delaware,2018,976,72,9,7.4,1
District of Columbia,2018,692,102,8,14.7,1.1
Florida,2018,21117,2883,173,13.7,0.8
Georgia,2018,10423,1548,115,14.8,1.1
Hawaii,2018,1393,128,16,9.2,1.1
Idaho,2018,1766,202,25,11.5,1.4
Illinois,2018,12589,1292,130,10.3,1
Indiana,2018,6582,761,68,11.6,1
Iowa,2018,3110,277,30,8.9,1
Kansas,2018,2835,212,27,7.5,0.9
Kentucky,2018,4445,696,76,15.7,1.7
Louisiana,2018,4510,858,38,19,0.8
Maine,2018,1321,153,19,11.6,1.4
Maryland,2018,6030,480,50,8,0.8
Massachusetts,2018,6883,601,59,8.7,0.9
Michigan,2018,9913,1036,78,10.5,0.8
Minnesota,2018,5746,456,47,7.9,0.8
Mississippi,2018,2899,567,27,19.6,0.9
Missouri,2018,6026,745,81,12.4,1.3
Montana,2018,1041,107,12,10.3,1.1
Nebraska,2018,1893,199,25,10.5,1.3
Nevada,2018,3008,390,37,13,1.2
New Hampshire,2018,1349,82,11,6.1,0.8
New Jersey,2018,8790,725,65,8.2,0.7
New Mexico,2018,2054,342,27,16.6,1.3
New York,2018,19343,2145,110,11.1,0.6
North Carolina,2018,10369,1355,96,13.1,0.9
North Dakota,2018,745,72,9,9.7,1.2
Ohio,2018,11452,1365,115,11.9,1
Oklahoma,2018,3858,518,48,13.4,1.2
Oregon,2018,4172,404,45,9.7,1.1
Pennsylvania,2018,12519,1476,124,11.8,1
Rhode Island,2018,1036,92,15,8.9,1.4
South Carolina,2018,5036,642,45,12.8,0.9
South Dakota,2018,853,90,8,10.6,0.9
Tennessee,2018,6665,800,73,12,1.1
Texas,2018,28497,3894,173,13.7,0.6
Utah,2018,3173,219,37,6.9,1.2
Vermont,2018,616,60,7,9.7,1.1
Virginia,2018,8393,821,86,9.8,1
Washington,2018,7555,647,101,8.6,1.3
West Virginia,2018,1762,279,21,15.9,1.2
Wisconsin,2018,5795,499,54,8.6,0.9
Wyoming,2018,565,53,6,9.5,1.1
Alabama,2017,4806,723,49,15,1
Alaska,2017,717,103,14,14.4,1.9
Arizona,2017,6990,926,107,13.2,1.5
Arkansas,2017,2924,432,28,14.8,0.9
California,2017,39237,4872,187,12.4,0.5
Colorado,2017,5527,427,53,7.7,1
Connecticut,2017,3555,388,42,10.9,1.2
Delaware,2017,967,89,10,9.2,1
District of Columbia,2017,692,94,7,13.6,1.1
Florida,2017,20894,2864,175,13.7,0.8
Georgia,2017,10227,1356,103,13.3,1
Hawaii,2017,1402,144,18,10.3,1.3
Idaho,2017,1732,202,20,11.7,1.2
Illinois,2017,12604,1379,105,10.9,0.8
Indiana,2017,6533,748,63,11.4,1
Iowa,2017,3054,278,37,9.1,1.2
Kansas,2017,2870,421,37,14.7,1.3
Kentucky,2017,4401,633,69,14.4,1.6
Louisiana,2017,4538,970,53,21.4,1.2
Maine,2017,1317,158,20,12,1.5
